LOAN_ID,CIVILIAN_NONINSTITUTIONAL_POPULATION,EMPLOYMENT,EMPLOYMENT_POPULATION_RATIO,LABOR_FORCE,LABOR_FORCE_PARTICIPATION_RATE,UNEMPLOYMENT,UNEMPLOYMENT_RATE
130499195,4379328.0,103298.89940828402,67.6,106889.69230769231,69.9,3590.792899408284,4.227218934911242
130870984,2880830.0,57470.31606217616,62.65,60242.284974093265,65.6,2771.9689119170985,4.376165803108808
130666255,3985032.0,112814.33673469388,56.3,116943.8469387755,58.349999999999994,4129.510204081633,3.756122448979592
130715098,1.95066505E7,372774.58247422683,59.9,389693.55154639174,62.725,16918.96907216495,5.016237113402061
130660624,1.0255861E7,190991.61290322582,59.55,199943.03225806452,62.35,8951.41935483871,4.659139784946237
130494244,1.95066505E7,372774.58247422683,59.9,389693.55154639174,62.725,16918.96907216495,5.016237113402061
130396230,2.1491509E7,145896.323583181,61.55,151933.22669104204,64.1,6036.903107861061,4.25
130073445,5306752.0,103048.2774566474,58.75,106863.23121387283,60.95,3814.9537572254335,3.955491329479769
130273058,1.1238202E7,425963.1317073171,57.875,445929.3756097561,60.575,19966.243902439026,4.975121951219512
130162829,8104426.0,125067.95348837209,58.9,130292.38604651163,61.4,5224.432558139535,4.66
130077239,3581128.0,92960.04761904762,56.05,97442.2,58.849999999999994,4482.152380952381,5.118095238095238
129978783,5197998.0,94132.37362637362,62.5,97568.01098901099,64.75,3435.6373626373625,3.635714285714286
129850533,1.95066505E7,372774.58247422683,59.9,389693.55154639174,62.725,16918.96907216495,5.016237113402061
129755182,2.1491509E7,145896.323583181,61.55,151933.22669104204,64.1,6036.903107861061,4.25
129623505,4602856.0,101398.7417218543,65.65,104976.38410596027,67.9,3577.6423841059604,3.8973509933774833
129253283,4785291.0,97405.07291666667,61.55,101100.71875,63.8,3695.6458333333335,3.857291666666667
129547750,1.0024659E7,168058.25435540068,61.650000000000006,175703.4494773519,64.45,7645.195121951219,4.667595818815331
129376920,2.1491509E7,145896.323583181,61.55,151933.22669104204,64.1,6036.903107861061,4.25
129350059,1.1241321E7,424268.0829268293,57.75,445989.2048780488,60.575,21721.121951219513,5.621951219512195
127867595,1.1241321E7,424268.0829268293,57.75,445989.2048780488,60.575,21721.121951219513,5.621951219512195
129098783,1.95018745E7,372592.706185567,59.85,389920.7603092783,62.725,17328.05412371134,5.12139175257732
129079328,1.0027398E7,167467.637630662,61.45,175846.1045296167,64.5,8378.466898954704,5.102787456445993
129068931,3581629.0,92678.99047619048,55.9,97035.33333333333,58.599999999999994,4356.342857142857,5.0476190476190474
128238630,8053348.0,99988.42063492064,60.55,104462.94444444444,63.25,4474.523809523809,4.676984126984126
128896798,3581629.0,92678.99047619048,55.9,97035.33333333333,58.599999999999994,4356.342857142857,5.0476190476190474
128195006,4743247.0,268036.3125,64.7,280510.3541666667,67.6,12474.041666666666,5.220833333333333
128586585,4601268.0,101522.09933774834,65.75,105215.13245033112,68.0,3693.0331125827815,4.070198675496689
128471057,1.95018745E7,372592.706185567,59.85,389920.7603092783,62.725,17328.05412371134,5.12139175257732
128378424,4601268.0,101522.09933774834,65.75,105215.13245033112,68.0,3693.0331125827815,4.070198675496689
128072809,5602026.0,65123.1875,64.4,67762.325,66.9,2639.1375,4.3245
128000703,1.7091874E7,339035.57345971564,57.0,352428.43127962085,59.25,13392.857819905214,3.9331753554502367
127864556,1.0027398E7,167467.637630662,61.45,175846.1045296167,64.5,8378.466898954704,5.102787456445993
127840352,1.123727675E7,382764.1744471745,57.63333333333333,400841.66830466833,60.333333333333336,18077.493857493857,4.899017199017199
126915069,8068630.0,90040.41948310139,60.300000000000004,93985.49701789265,62.93333333333334,3945.0775347912527,4.639562624254474
127650559,5556021.0,244928.96923076923,58.0,256916.43076923076,60.9,11987.461538461539,5.843076923076923
127647859,1.123727675E7,382764.1744471745,57.63333333333333,400841.66830466833,60.333333333333336,18077.493857493857,4.899017199017199
127444131,1.123727675E7,382764.1744471745,57.63333333333333,400841.66830466833,60.333333333333336,18077.493857493857,4.899017199017199
127186206,1.951263525E7,325473.4126778784,59.65,340344.00388098316,62.48333333333333,14870.591203104786,4.906597671410091
127237907,4453657.0,107571.92250922509,66.33333333333333,111109.21771217712,68.46666666666667,3537.2952029520297,3.2664206642066422
127166422,2.1516107E7,133333.69826325413,61.300000000000004,139016.18847209515,63.866666666666674,5560.506861848125,4.284263494967978
127094527,1.02585055E7,175002.35309973045,59.46666666666667,183448.88140161725,62.333333333333336,8446.528301886792,4.773854447439353
126784430,2363960.0,201112.18309859154,60.06666666666666,211167.4084507042,63.06666666666666,10055.225352112677,4.625352112676056
126920381,3989402.0,101418.70256410257,56.03333333333333,105594.4923076923,58.333333333333336,4175.789743589744,4.235897435897436
126679764,1.7128038E7,293946.7398568019,56.800000000000004,305684.4844868735,59.06666666666666,11737.744630071598,4.0009546539379475
126716476,4745447.0,239247.65263157894,64.76666666666667,249998.7789473684,67.60000000000001,10751.126315789474,4.883157894736842
126655308,4745447.0,239247.65263157894,64.76666666666667,249998.7789473684,67.60000000000001,10751.126315789474,4.883157894736842
126606947,1.7128038E7,293946.7398568019,56.800000000000004,305684.4844868735,59.06666666666666,11737.744630071598,4.0009546539379475
140567891,1.122422E7,427864.18536585366,58.0,444331.6,60.35,16467.414634146342,3.557073170731707
140791937,5618892.0,66126.0425,65.25,68242.8675,67.4,2116.825,2.939250000000001
140865281,1.9544434E7,375603.0798969072,59.975,391039.20360824745,62.7,15436.123711340206,4.175515463917526
